iter	RMSE	Huber:delta=180
0	1282.899883	104055.0927
1	1282.482687	103975.1712
2	1281.932328	103861.1092
3	1281.658293	103809.0486
4	1281.468554	103749.2342
5	1281.20273	103697.236
6	1280.680863	103576.7809
7	1280.122567	103469.5045
8	1279.46997	103362.0368
9	1278.81874	103241.1805
10	1278.468678	103179.8272
11	1278.037501	103114.5696
12	1277.885616	103081.9677
13	1277.364614	103000.2967
14	1276.90209	102922.1492
15	1276.498819	102849.8263
16	1276.237845	102792.6746
17	1275.938261	102740.861
18	1275.669991	102683.1691
19	1275.566133	102662.9447
20	1275.344978	102626.3244
21	1274.884851	102543.1367
22	1274.477179	102466.4489
23	1274.141049	102393.4069
24	1273.969705	102370.5122
25	1273.763768	102333.2622
26	1273.365937	102253.6322
27	1273.0794	102180.9337
28	1272.773813	102116.7941
29	1272.498099	102058.3744
30	1272.21616	102014.4294
31	1271.820985	101907.2299
32	1271.414582	101846.5674
33	1271.144911	101787.8326
34	1270.890304	101748.1129
35	1270.664675	101706.6337
36	1270.330614	101617.9852
37	1269.844184	101509.9119
38	1269.487633	101427.8137
39	1268.935592	101301.8367
40	1268.550848	101219.3076
41	1267.939018	101113.7845
42	1267.7338	101078.2634
43	1267.465531	101022.585
44	1267.341192	100994.7784
45	1266.813641	100875.4524
46	1266.527734	100822.0509
47	1266.095354	100726.0563
48	1265.780161	100668.1538
49	1265.141754	100582.9474
50	1264.940259	100542.5012
51	1264.835153	100530.3133
52	1264.460545	100456.5738
53	1264.207402	100402.8058
54	1264.061637	100364.5932
55	1263.396956	100263.38
56	1263.080857	100205.8812
57	1262.830442	100164.0263
58	1262.535002	100109.8021
59	1262.174797	100050.2949
60	1261.922964	100000.3415
61	1261.79163	99963.96252
62	1261.566422	99928.76477
63	1261.245855	99859.43456
64	1261.032972	99826.55286
65	1260.618854	99763.31229
66	1260.127798	99681.39348
67	1259.83734	99635.37041
68	1259.307606	99558.46388
69	1259.07348	99515.53248
70	1258.965164	99496.95195
71	1258.796279	99479.80264
72	1258.607335	99437.61242
73	1258.559617	99424.92766
74	1258.176379	99364.21236
75	1257.786466	99306.4226
76	1257.520295	99259.1234
77	1257.313585	99224.54446
78	1257.052727	99172.86803
79	1256.699894	99115.68546
80	1256.493741	99049.20844
81	1256.362263	99022.97015
82	1256.324784	99011.73994
83	1255.909485	98948.51892
84	1255.681018	98896.73037
85	1255.369521	98853.21373
86	1255.082905	98792.53754
87	1254.92344	98763.39096
88	1254.80028	98739.20802
89	1254.602619	98705.24577
90	1254.418546	98676.75741
91	1254.178339	98630.19716
92	1254.064986	98604.82191
93	1253.94768	98583.8917
94	1253.878672	98574.57982
95	1253.640584	98531.78987
96	1253.293526	98476.23556
97	1253.233542	98469.34895
98	1252.909122	98417.58956
99	1252.678898	98371.41071
100	1252.56839	98352.29319
101	1252.466207	98340.27294
102	1252.263043	98306.46958
103	1252.153756	98285.99988
104	1251.988167	98267.77054
105	1251.743232	98221.37945
106	1251.657412	98203.53698
107	1251.566356	98187.1056
108	1251.204254	98143.27433
109	1251.048647	98122.57838
110	1250.918991	98093.62166
111	1250.807425	98076.38142
112	1250.427107	98017.83398
113	1250.038018	97974.91958
114	1249.758667	97940.17453
115	1249.561084	97904.54028
116	1249.437875	97881.66559
117	1249.286635	97856.26205
118	1249.118077	97826.73707
119	1249.059212	97813.22225
120	1248.773357	97771.39992
121	1248.443187	97712.34333
122	1248.163598	97669.48638
123	1248.037962	97646.13471
124	1247.848662	97608.10868
125	1247.569006	97572.34619
126	1247.39068	97549.40366
127	1247.157619	97514.48378
128	1247.074725	97498.67193
129	1246.800747	97449.86312
130	1246.614163	97419.78994
131	1246.514777	97396.46749
132	1246.434652	97379.25277
133	1246.144142	97339.41609
134	1245.856635	97300.58986
135	1245.731855	97276.90077
136	1245.577008	97252.58187
137	1245.364983	97211.31421
138	1245.15566	97182.69534
139	1244.943005	97153.96043
140	1244.785079	97129.78889
141	1244.750225	97116.98226
142	1244.584696	97086.36787
143	1244.535299	97079.25515
