iter	Passed	Remaining
0	7	14749
1	14	14308
2	21	14299
3	28	14040
4	35	14192
5	40	13562
6	46	13132
7	51	12786
8	56	12602
9	62	12364
10	67	12158
11	72	11974
12	77	11834
13	82	11728
14	88	11664
15	93	11595
16	98	11479
17	103	11391
18	108	11316
19	113	11252
20	118	11194
21	123	11134
22	129	11138
23	134	11096
24	139	11035
25	145	11022
26	150	10990
27	155	10947
28	161	10972
29	166	10962
30	172	10935
31	177	10887
32	182	10870
33	187	10835
34	192	10831
35	198	10816
36	203	10814
37	209	10797
38	214	10767
39	219	10771
40	224	10731
41	229	10703
42	234	10672
43	239	10654
44	244	10628
45	249	10610
46	255	10614
47	260	10586
48	265	10559
49	270	10552
50	275	10538
51	281	10536
52	286	10519
53	291	10504
54	296	10498
55	302	10484
56	307	10482
57	312	10464
58	318	10463
59	323	10455
60	328	10445
61	333	10432
62	339	10425
63	344	10412
64	349	10402
65	354	10399
66	359	10378
67	364	10368
68	370	10364
69	375	10362
70	381	10359
71	386	10358
72	391	10338
73	397	10335
74	402	10326
75	407	10313
76	413	10334
77	420	10355
78	426	10382
79	433	10398
80	438	10387
81	443	10373
82	448	10357
83	454	10357
84	459	10348
85	464	10333
86	469	10332
87	474	10320
88	480	10314
89	485	10306
90	490	10295
91	496	10289
92	501	10281
93	506	10279
94	512	10273
95	517	10258
96	522	10247
97	527	10236
98	532	10227
99	538	10224
100	543	10212
101	548	10199
102	553	10185
103	559	10191
104	564	10187
105	569	10179
106	575	10173
107	580	10168
108	585	10163
109	591	10154
110	596	10143
111	601	10139
112	606	10131
113	611	10122
114	616	10112
115	622	10103
116	627	10091
117	632	10092
118	638	10085
119	643	10082
120	648	10076
121	653	10067
122	659	10059
123	664	10055
124	669	10045
125	675	10040
126	680	10029
127	685	10026
128	690	10015
129	695	10011
130	701	10003
131	707	10013
132	712	10005
133	717	9996
134	723	9989
135	728	9981
136	733	9972
137	738	9964
138	743	9952
139	748	9945
140	753	9934
141	758	9926
142	764	9922
143	766	9877
144	771	9872
145	776	9864
146	781	9855
147	787	9852
148	792	9847
149	797	9839
150	803	9844
151	810	9855
152	817	9867
153	823	9874
154	828	9863
155	833	9857
156	839	9849
157	844	9845
158	849	9836
159	854	9830
160	860	9824
161	865	9815
