စဥ်,အမျိုးအမည်,ကုန်စည်ဒိုင်,နေ့စွဲ,အချင်အတွယ်,စျေးနှုန်း (မြန်မာကျပ်),အတက်/အကျ,%
1,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-01,တင်း,"18,340",0,0.00%
2,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-02,တင်း,"18,340",0,0.00%
3,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-03,တင်း,"18,340",0,0.00%
4,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-04,တင်း,"18,340",0,0.00%
5,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-05,တင်း,"18,340",0,0.00%
6,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-06,တင်း,"18,340",0,0.00%
7,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-07,တင်း,"18,340",0,0.00%
8,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-08,တင်း,"18,340",0,0.00%
9,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-09,တင်း,"18,340",0,0.00%
10,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-10,တင်း,"18,340",0,0.00%
11,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-11,တင်း,"18,340",0,0.00%
12,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-12,တင်း,"18,340",0,0.00%
13,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-13,တင်း,"18,340",0,0.00%
14,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-14,တင်း,"18,340",0,0.00%
15,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-15,တင်း,"18,185",-155,-0.84%
16,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-16,တင်း,"18,185",0,0.00%
17,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-17,တင်း,"18,185",0,0.00%
18,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-18,တင်း,"18,033",-152,-0.84%
19,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-19,တင်း,"18,033",0,0.00%
20,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-20,တင်း,"18,033",0,0.00%
21,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-21,တင်း,"18,033",0,0.00%
22,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-22,တင်း,"17,881",-152,-0.84%
23,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-23,တင်း,"17,881",0,0.00%
24,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-24,တင်း,"17,881",0,0.00%
25,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-25,တင်း,"17,574",-307,-1.72%
26,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-26,တင်း,"17,574",0,0.00%
27,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-27,တင်း,"17,574",0,0.00%
28,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-28,တင်း,"17,574",0,0.00%
29,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-29,တင်း,"17,728",154,0.88%
30,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-30,တင်း,"17,728",0,0.00%
31,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-01-31,တင်း,"17,728",0,0.00%
32,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-01,တင်း,"17,728",0,0.00%
33,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-02,တင်း,"17,728",0,0.00%
34,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-02-03,တင်း,"17,728",0,0.00%
